Marke,Modell,Farbe,Speicher,Display_Inches,Display_CM,Mobilfunk,Rueckkamera,Frontkamera,Modelljahr,Gesichtserkennung,Produkt,Kategorie_Farbe,Med_Preis,Gal_Preis,Med_Gesamtkundenbewertung,Med_Anzahl_Kundenbewertung,Gal_Markenanteil,Gal_Mobilfunkanteil,Preisdifferenz
Xiaomi,Redmi A1,Hellblau,32.0,6.52,16.6,4G, 8 ,5.0,0,0.0,Xiaomi Redmi A1,rest,99.95,85.3,0.0,0.0,18.3,39.02,-14.650000000000006
Samsung,Galaxy S23,PhantomBlack,128.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,schwarz,899.0,899.0,4.0,9.0,17.6,59.04,0.0
Samsung,Galaxy S23,Green,256.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,rest,949.0,949.0,4.0,10.0,17.6,59.04,0.0
Samsung,Galaxy S23 Ultra,Green,512.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,rest,1499.0,1499.0,4.0,46.0,17.6,59.04,0.0
Samsung,Galaxy S23 Ultra,PhantomBlack,256.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,schwarz,1339.0,1349.0,4.0,42.0,17.6,59.04,10.0
Nokia,C12,Charcoal,64.0,6.3,16.0,4G, 8 ,5.0,2023,1.0,Nokia C12,rest,119.0,123.0,5.0,1.0,3.88,39.02,4.0
Apple,iPhone 14 Plus,Midnight,256.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,999.0,1028.0,5.0,2.0,16.29,59.04,29.0
Apple,iPhone 14,Midnight,512.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,1269.0,1134.0,0.0,0.0,16.29,59.04,-135.0
Samsung,Galaxy A54 5G,AwesomeViolet,128.0,6.4,16.3,5G, 50 ,32.0,0,0.0,Samsung Galaxy A54 5G,rest,459.95,459.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Samsung,Galaxy A34 5G,AwesomeViolet,256.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,rest,429.95,429.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Apple,iPhone 12,White,128.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,weiss,699.0,620.0,4.0,15.0,16.29,59.04,-79.0
Xiaomi,Redmi Note 12 Pro 5G,MidnightBlack,128.0,6.67,16.9,5G, 50 ,16.0,2023,1.0,Xiaomi Redmi Note 12 Pro 5G,schwarz,379.0,312.0,5.0,1.0,18.3,59.04,-67.0
Samsung,Galaxy S23 Ultra,Green,256.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,rest,1339.0,1349.0,4.0,42.0,17.6,59.04,10.0
Samsung,Galaxy Z Flip4,BoraPurple,128.0,6.7,17.0,5G, 12 ,10.0,2022,1.0,Samsung Galaxy Z Flip4,rest,999.0,862.17,4.0,16.0,17.6,59.04,-136.83000000000004
Apple,iPhone 14 Plus,Purple,256.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,999.0,1019.0,5.0,1.0,16.29,59.04,20.0
Apple,iPhone 13 mini,Pink,256.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,779.0,746.0,5.0,6.0,16.29,59.04,-33.0
Apple,iPhone 14,Yellow,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,979.0,905.0,5.0,2.0,16.29,59.04,-74.0
Apple,iPhone 14 Pro Max,DeepPurple,512.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1470.0,1499.0,5.0,3.0,16.29,59.04,29.0
Samsung,Galaxy A34 5G,AwesomeViolet,128.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,rest,369.95,369.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Xiaomi,Redmi A1,Hellgrün,32.0,6.52,16.6,4G, 8 ,5.0,0,0.0,Xiaomi Redmi A1,rest,99.95,86.6,0.0,0.0,18.3,39.02,-13.350000000000009
Samsung,Galaxy S23+,Green,256.0,6.6,16.8,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23+,rest,1129.0,1149.0,4.0,14.0,17.6,59.04,20.0
Apple,iPhone 12,White,64.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,weiss,614.0,599.0,4.0,11.0,16.29,59.04,-15.0
Samsung,Galaxy S23,Lavender,256.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,rest,949.0,949.0,4.0,9.0,17.6,59.04,0.0
Samsung,Galaxy S23,Cream,128.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,rest,899.0,899.0,4.0,9.0,17.6,59.04,0.0
Samsung,Galaxy S23 Ultra,Cream,256.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,rest,1339.0,1349.0,4.0,43.0,17.6,59.04,10.0
Samsung,Galaxy S23+,PhantomBlack,512.0,6.6,16.8,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23+,schwarz,1249.0,1249.0,4.0,15.0,17.6,59.04,0.0
Samsung,Galaxy Z Flip4,PinkGold,256.0,6.7,17.0,5G, 12 ,10.0,2022,1.0,Samsung Galaxy Z Flip4,rest,1039.0,999.0,4.0,16.0,17.6,59.04,-40.0
Apple,iPhone 13 mini,Midnight,512.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,959.0,936.0,4.0,3.0,16.29,59.04,-23.0
Motorola,Moto E13,CosmicBlack,64.0,6.5,16.5,4G, 13 ,5.0,2023,1.0,Motorola Moto E13,schwarz,99.95,100.0,0.0,0.0,6.17,39.02,0.04999999999999716
Apple,iPhone 12,Purple,128.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,rest,699.0,665.0,4.0,8.0,16.29,59.04,-34.0
Apple,iPhone 14 Pro,DeepPurple,512.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1439.0,1587.35,5.0,1.0,16.29,59.04,148.3499999999999
Apple,iPhone 14 Pro,Silver,512.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1400.0,1379.0,0.0,0.0,16.29,59.04,-21.0
Samsung,Galaxy A34 5G,AwesomeLime,256.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,schwarz,429.95,429.0,0.0,0.0,17.6,59.04,-0.9499999999999886
OnePlus,11 5G,TitanBlack,256.0,6.7,17.0,5G, 50 ,16.0,2023,1.0,OnePlus 11 5G,schwarz,899.0,874.0,5.0,1.0,3.12,59.04,-25.0
Google,Pixel 7,Lemongrass,128.0,6.3,16.0,5G, 50 ,10.0,2022,1.0,Google Pixel 7,schwarz,619.0,569.0,4.0,4.0,2.08,59.04,-50.0
Samsung,Galaxy S23+,PhantomBlack,256.0,6.6,16.8,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23+,rest,1129.0,1149.0,4.0,14.0,17.6,59.04,20.0
Apple,iPhone 12,Blue,128.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,rest,699.0,665.0,4.0,16.0,16.29,59.04,-34.0
Google,Pixel 7,Obsidian,256.0,6.3,16.0,5G, 50 ,10.0,2022,1.0,Google Pixel 7,rest,699.0,679.0,0.0,0.0,2.08,59.04,-20.0
Samsung,Galaxy S23,Cream,256.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,rest,949.0,949.0,4.0,9.0,17.6,59.04,0.0
Samsung,Galaxy S23,Lavender,128.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,rest,899.0,899.0,4.0,9.0,17.6,59.04,0.0
Samsung,Galaxy S23 Ultra,Cream,512.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,schwarz,1499.0,1499.0,4.0,42.0,17.6,59.04,0.0
Samsung,Galaxy A54 5G,AwesomeViolet,256.0,6.4,16.3,5G, 50 ,32.0,0,0.0,Samsung Galaxy A54 5G,rest,529.0,499.0,0.0,0.0,17.6,59.04,-30.0
Samsung,Galaxy Z Fold4,PhantomBlack,256.0,7.6,19.3,5G, 50 ,10.0,2022,1.0,Samsung Galaxy Z Fold4,schwarz,1599.0,1549.0,4.0,25.0,17.6,59.04,-50.0
Samsung,Galaxy Z Flip4,Blue,256.0,6.7,17.0,5G, 12 ,10.0,2022,1.0,Samsung Galaxy Z Flip4,rest,999.0,999.0,4.0,15.0,17.6,59.04,0.0
Samsung,Galaxy Z Fold4,PhantomBlack,512.0,7.6,19.3,5G, 50 ,10.0,2022,1.0,Samsung Galaxy Z Fold4,rest,1699.0,1649.0,4.0,24.0,17.6,59.04,-50.0
Samsung,Galaxy Z Fold4,Beige,256.0,7.6,19.3,5G, 50 ,10.0,2022,1.0,Samsung Galaxy Z Fold4,schwarz,1599.0,1549.0,4.0,25.0,17.6,59.04,-50.0
Samsung,Galaxy Z Flip4,Graphite,128.0,6.7,17.0,5G, 12 ,10.0,2022,1.0,Samsung Galaxy Z Flip4,rest,999.0,699.75,4.0,15.0,17.6,59.04,-299.25
Apple,iPhone 13 mini,Starlight,512.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,1039.0,979.0,5.0,2.0,16.29,59.04,-60.0
Apple,iPhone 14 Plus,Blue,512.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,schwarz,1399.0,1296.92,5.0,1.0,16.29,59.04,-102.07999999999993
Apple,iPhone 14 Pro Max,DeepPurple,1000.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1720.0,1699.0,3.0,3.0,16.29,59.04,-21.0
Apple,iPhone 13 mini,Midnight,256.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,779.0,749.0,4.0,7.0,16.29,59.04,-30.0
Apple,iPhone 14 Pro Max,SpaceBlack,1000.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1752.0,1699.0,3.0,2.0,16.29,59.04,-53.0
Apple,iPhone 14,Blue,512.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,1269.0,1138.0,0.0,0.0,16.29,59.04,-131.0
Apple,iPhone 14 Plus,Yellow,256.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,999.0,999.0,5.0,1.0,16.29,59.04,0.0
Apple,iPhone 13,Pink,256.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,schwarz,899.0,829.0,0.0,0.0,16.29,59.04,-70.0
Apple,iPhone 13,Starlight,256.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,899.0,866.0,4.0,5.0,16.29,59.04,-33.0
Apple,iPhone 12,Purple,64.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,rest,614.0,599.0,5.0,4.0,16.29,59.04,-15.0
Apple,iPhone 14 Pro,SpaceBlack,512.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1375.0,1376.0,5.0,1.0,16.29,59.04,1.0
Apple,iPhone 14 Plus,Blue,256.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,999.0,1034.0,5.0,1.0,16.29,59.04,35.0
Xiaomi,Redmi 12C,OceanBlue,128.0,6.71,17.0,4G, 50 ,5.0,2023,1.0,Xiaomi Redmi 12C,rest,169.95,149.0,0.0,0.0,18.3,39.02,-20.94999999999999
Samsung,Galaxy A34 5G,AwesomeSilver,128.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,rest,369.95,369.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Samsung,Galaxy A34 5G,AwesomeSilver,256.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,schwarz,429.95,429.0,0.0,0.0,17.6,59.04,-0.9499999999999886
OnePlus,11 5G,EternalGreen,256.0,6.7,17.0,5G, 50 ,16.0,2023,1.0,OnePlus 11 5G,rest,899.0,891.0,5.0,1.0,3.12,59.04,-8.0
OnePlus,11 5G,TitanBlack,128.0,6.7,17.0,5G, 50 ,16.0,2023,1.0,OnePlus 11 5G,rest,829.0,766.0,0.0,0.0,3.12,59.04,-63.0
Samsung,Galaxy S23+,Green,512.0,6.6,16.8,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23+,rest,1249.0,1249.0,4.0,15.0,17.6,59.04,0.0
Samsung,Galaxy S23+,Lavender,256.0,6.6,16.8,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23+,schwarz,1129.0,1149.0,4.0,14.0,17.6,59.04,20.0
Apple,iPhone 13,Green,256.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,899.0,838.0,5.0,1.0,16.29,59.04,-61.0
Xiaomi,13 Pro,CeramicBlack,256.0,6.73,17.1,5G, 50 ,32.0,2023,1.0,Xiaomi 13 Pro,weiss,1399.0,1126.0,5.0,2.0,18.3,59.04,-273.0
