Url,Med_Preis,Modelname,GTIN,Farbe,Rückkamera_MP,Front_Kamera_MP,Displaygrösse_Inches,Speicherkapazität_GB,Gesichtserkennung,Modelljahr,Marke,Gesamtkundenbewertung,Anzahl_Kundenbewertung,Displaygrösse_CM,Med_Preis_Exkl_Mwst
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s21-fe-5g-2105600.html,699.0,Galaxy S21 FE 5G,SM-G990BZWFEUE,White,12,32,6.4,128,1,2022,samsung,4.0,20,16.3,645.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118903.html,529.0,iPhone SE (2022),MMXK3ZD/A,Starlight,12,7,4.7,128,0,0,apple,0.0,0,11.9,488.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028652.html,614.0,iPhone 12,MGJ93ZD/A,Green,12,12,6.1,64,1,2020,apple,4.0,4,15.5,567.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151036.html,1269.0,iPhone 14,MPX33ZD/A,Starlight,12,12,6.1,512,1,2022,apple,0.0,0,15.5,1171.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2176808.html,819.0,iPhone 14,MR3X3ZD/A,Yellow,12,12,6.1,128,1,2022,apple,4.0,4,15.5,756.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s21-fe-5g-eu-2133542.html,499.95,Galaxy S21 FE 5G (EU),SM-G990BZADEUE,Graphite,12,32,6.4,128,1,2022,samsung,4.0,24,16.3,461.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091436.html,719.0,iPhone 13,MLPJ3ZD/A,(PRODUCT)RED,12,12,6.1,128,1,2021,apple,4.0,4,15.5,664.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173981.html,459.95,Galaxy A54 5G,SM-A546BZKCEUE,Awesome Graphite,50,32,6.4,128,0,0,samsung,0.0,0,16.3,425.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118904.html,529.0,iPhone SE (2022),MMXL3ZD/A,(PRODUCT)RED,12,7,4.7,128,0,0,apple,0.0,0,11.9,488.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118898.html,469.95,iPhone SE (2022),MMXG3ZD/A,Starlight,12,7,4.7,64,0,0,apple,0.0,0,11.9,434.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028642.html,614.0,iPhone 12,MGJ83ZD/A,Blue,12,12,6.1,64,1,2020,apple,4.0,11,15.5,567.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109371.html,769.0,Galaxy S22 5G,SM-S901BZWDEUE,Phantom White,50,10,6.1,128,1,2022,samsung,3.0,50,15.5,710.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2177749.html,529.0,Galaxy A54 5G,SM-A546BLGDEUE,Awesome Lime,50,32,6.4,256,0,0,samsung,0.0,0,16.3,488.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip4-2141913.html,1039.0,Galaxy Z Flip4,SM-F721BLVHEUE,Bora Purple,12,10,6.7,256,1,2022,samsung,4.0,16,17.0,959.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091358.html,838.0,iPhone 13,MLQA3ZD/A,Blue,12,12,6.1,256,1,2021,apple,5.0,9,15.5,773.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151034.html,959.0,iPhone 14,MPWP3ZD/A,Blue,12,12,6.1,256,1,2022,apple,5.0,2,15.5,885.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a14-5g-2173972.html,239.95,Galaxy A14 5G,SM-A146PLGGEUE,Lime Green,50,13,6.6,128,0,0,samsung,0.0,0,16.8,221.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a1-2152688.html,99.95,Redmi A1,MZB0CH2EU,Hellblau,8,5,6.52,32,0,0,xiaomi,0.0,0,16.6,92.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167353.html,899.0,Galaxy S23,SM-S911BZKDEUE,Phantom Black,50,12,6.1,128,1,2023,samsung,4.0,9,15.5,830.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167361.html,949.0,Galaxy S23,SM-S911BZGGEUE,Green,50,12,6.1,256,1,2023,samsung,4.0,10,15.5,876.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167389.html,1499.0,Galaxy S23 Ultra,SM-S918BZGHEUE,Green,200,12,6.8,512,1,2023,samsung,4.0,46,17.3,1384.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167390.html,1499.0,Galaxy S23 Ultra,SM-S918BLIHEUE,Lavander,200,12,6.8,512,1,2023,samsung,4.0,42,17.3,1384.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109374.html,672.0,Galaxy S22 5G,SM-S901BZGGEUE,Green,50,10,6.1,256,1,2022,samsung,3.0,50,15.5,620.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167385.html,1339.0,Galaxy S23 Ultra,SM-S918BZKDEUE,Phantom Black,200,12,6.8,256,1,2023,samsung,4.0,42,17.3,1236.0
https://www.mediamarkt.ch/de/product/_nokia-c12-2170790.html,119.0,C12,286801095,Charcoal,8,5,6.3,64,1,2023,nokia,5.0,1,16.0,110.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151045.html,999.0,iPhone 14 Plus,MQ533ZD/A,Midnight,12,12,6.7,256,1,2022,apple,5.0,2,17.0,922.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151035.html,1269.0,iPhone 14,MPWW3ZD/A,Midnight,12,12,6.1,512,1,2022,apple,0.0,0,15.5,1171.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2173982.html,459.95,Galaxy A54 5G,SM-A546BLVCEUE,Awesome Violet,50,32,6.4,128,0,0,samsung,0.0,0,16.3,425.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2176864.html,429.95,Galaxy A34 5G,SM-A346BLVEEUE,Awesome Violet,48,13,6.6,256,0,0,samsung,0.0,0,16.8,397.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118906.html,649.0,iPhone SE (2022),MMXM3ZD/A,Midnight,12,7,4.7,256,0,0,apple,0.0,0,11.9,599.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118899.html,469.95,iPhone SE (2022),MMXH3ZD/A,(PRODUCT)RED,12,7,4.7,64,0,0,apple,0.0,0,11.9,434.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028654.html,699.0,iPhone 12,MGJC3ZD/A,White,12,12,6.1,128,1,2020,apple,4.0,15,15.5,645.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-12-pro-5g-2176856.html,379.0,Redmi Note 12 Pro 5G,MZB0D2YEU,Midnight Black,50,16,6.67,128,1,2023,xiaomi,5.0,1,16.9,350.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167382.html,1339.0,Galaxy S23 Ultra,SM-S918BZGDEUE,Green,200,12,6.8,256,1,2023,samsung,4.0,42,17.3,1236.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip4-2141912.html,999.0,Galaxy Z Flip4,SM-F721BLVGEUE,Bora Purple,12,10,6.7,128,1,2022,samsung,4.0,16,17.0,922.0
https://www.mediamarkt.ch/de/product/_nokia-g22-2175509.html,174.95,G22,101S0609H001,Meteor Grey,50,8,6.52,64,1,2023,nokia,0.0,0,16.6,161.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151047.html,999.0,iPhone 14 Plus,MQ563ZD/A,Purple,12,12,6.7,256,1,2022,apple,5.0,1,17.0,922.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091381.html,779.0,iPhone 13 mini,MLK73ZD/A,Pink,12,12,5.4,256,1,2021,apple,5.0,6,13.7,719.0
https://www.mediamarkt.ch/de/product/_motorola-moto-g13-2180586.html,184.95,Moto G13,PAWV0016SE,Matte Charcoal,50,8,6.5,128,1,2023,motorola,5.0,2,16.5,171.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151038.html,1269.0,iPhone 14,MPXG3ZD/A,(PRODUCT)RED,12,12,6.1,512,1,2022,apple,0.0,0,15.5,1171.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2176809.html,979.0,iPhone 14,MR3Y3ZD/A,Yellow,12,12,6.1,256,1,2022,apple,5.0,2,15.5,904.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151082.html,1470.0,iPhone 14 Pro Max,MQAM3ZD/A,Deep Purple,48,12,6.7,512,1,2022,apple,5.0,3,17.0,1357.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-note-11-pro-4g-2122548.html,299.95,Redmi Note 11 Pro 4G,MZB0AREEU/MZB0ASOEU,Graphite Grey,108,16,6.67,128,1,2022,xiaomi,4.0,8,16.9,277.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a14-5g-2173974.html,239.95,Galaxy A14 5G,SM-A146PZSGEUE,Silber,50,13,6.6,128,0,0,samsung,0.0,0,16.8,221.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2173978.html,369.95,Galaxy A34 5G,SM-A346BLVAEUE,Awesome Violet,48,13,6.6,128,0,0,samsung,0.0,0,16.8,341.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-a1-2152689.html,99.95,Redmi A1,MZB0CGXEU,Hellgrün,8,5,6.52,32,0,0,xiaomi,0.0,0,16.6,92.0
https://www.mediamarkt.ch/de/product/_one-plus-nord-ce-2-5g-2116376.html,369.95,Nord CE 2 5G,5011101969,Grey Mirror,64,16,6.43,128,1,2022,one-plus,0.0,0,16.3,341.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167371.html,1129.0,Galaxy S23+,SM-S916BZGDEUE,Green,50,12,6.6,256,1,2023,samsung,4.0,14,16.8,1042.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028626.html,614.0,iPhone 12,MGJ63ZD/A,White,12,12,6.1,64,1,2020,apple,4.0,11,15.5,567.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167363.html,949.0,Galaxy S23,SM-S911BLIGEUE,Lavender,50,12,6.1,256,1,2023,samsung,4.0,9,15.5,876.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109377.html,670.0,Galaxy S22 5G,SM-S901BZWGEUE,Phantom White,50,10,6.1,256,1,2022,samsung,3.0,50,15.5,618.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167340.html,899.0,Galaxy S23,SM-S911BZEDEUE,Cream,50,12,6.1,128,1,2023,samsung,4.0,9,15.5,830.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167383.html,1339.0,Galaxy S23 Ultra,SM-S918BLIDEUE,Lavander,200,12,6.8,256,1,2023,samsung,4.0,42,17.3,1236.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167380.html,1339.0,Galaxy S23 Ultra,SM-S918BZEDEUE,Cream,200,12,6.8,256,1,2023,samsung,4.0,43,17.3,1236.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167378.html,1249.0,Galaxy S23+,SM-S916BZKGEUE,Phantom Black,50,12,6.6,512,1,2023,samsung,4.0,15,16.8,1153.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-z-flip4-2141916.html,1039.0,Galaxy Z Flip4,SM-F721BZDHEUE,Pink Gold,12,10,6.7,256,1,2022,samsung,4.0,16,17.0,959.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091384.html,959.0,iPhone 13 mini,MLKA3ZD/A,Midnight,12,12,5.4,512,1,2021,apple,4.0,3,13.7,885.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151043.html,902.0,iPhone 14 Plus,MQ513ZD/A,(PRODUCT)RED,12,12,6.7,128,1,2022,apple,5.0,3,17.0,833.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151052.html,1259.0,iPhone 14 Plus,MQ5E3ZD/A,Deep Purple,12,12,6.7,512,1,2022,apple,5.0,1,17.0,1162.0
https://www.mediamarkt.ch/de/product/_motorola-moto-e13-2180587.html,99.95,Moto E13,PAXT0023SE,Cosmic Black,13,5,6.5,64,1,2023,motorola,0.0,0,16.5,92.0
https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028729.html,519.0,iPhone 11 (2020),MHDJ3ZD/A,White,12,12,6.1,128,1,2020,apple,4.0,13,15.5,479.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2066507.html,699.0,iPhone 12,MJNP3ZD/A,Purple,12,12,6.1,128,1,2020,apple,4.0,8,15.5,645.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151028.html,869.0,iPhone 14,MPVA3ZD/A,(PRODUCT)RED,12,12,6.1,128,1,2022,apple,4.0,5,15.5,802.0
